企业地址,公司名,公司类型,地址,成立日期,所属地区,所属行业,核准日期,法定代表人信息,注册号,注册资本,登记机关,纳税人识别号,组织机构代码,经营状态,经营范围,统一社会信用代码,英文名,营业期限,登记状态,曾用名,官网,电话,邮箱
河北省保定市顺平县蒲上镇白庙村,顺平县江泰塑料机械制造有限公司,有限责任公司(自然人独资),河北省保定市顺平县蒲上镇白庙村,2016-09-21,河北省,制造业,2016-09-21,王兰水,-,200万人民币,顺平县市场监督管理局,91130636MA07WA5741,-,存续（在营、开业、在册）,塑料机械制造销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91130636MA07WA5741,-,2016-09-21 至 2026-09-20,存续,,,13730468277,暂无
河北省保定市蠡县南庄镇前刘市村,蠡县大远汽车装饰用品制造有限公司,有限责任公司(自然人独资),河北省保定市蠡县南庄镇前刘市村,2016-01-22,河北省,制造业,2016-01-22,赵志远,-,50万人民币,蠡县工商行政管理局,91130635MA07MU1D83,-,存续（在营、开业、在册）,汽车装饰用品、汽车清洁用品制造、加工、销售。（不含危险化学品）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91130635MA07MU1D83,-,2016-01-22 至 无固定期限,存续,,,13932217606,暂无
项城市西大街铁路西路南,项城市旭日纺织有限公司,有限责任公司(自然人投资或控股),项城市西大街铁路西路南,2003-04-22,河南省,制造业,2016-04-06,张国民,-,52万元,周口市项城市工商行政管理局,914116817218970302,72189703-0,存续（在营、开业、在册）,纺织品、服装加工销售,914116817218970302,"Xiangcheng Xuri Weaving Co., Ltd.",2003-04-22 至 无固定期限,存续,,,13403885371,1458597084@qq.com
江西省九江市濂溪区金源物业服务有限公司内,九江市濂溪区恒鑫精密铸造厂,个人独资企业,江西省九江市濂溪区金源物业服务有限公司内,2010-03-23,江西省,制造业,2016-12-30,毛红萍,360402310003460,10万人民币,九江市濂溪区市场和质量监督管理局,91360402550894192H,55089419-2,存续（在营、开业、在册）,普通机械配件铸造（涉及行政许可的凭许可证经营）***,91360402550894192H,-,2010-03-23 至 无固定期限,存续,九江市庐山区恒鑫精密铸造厂,,13879219803,1024521552@qq.com
江西省九江市九江经济技术开发区出口加工区如琴路2号,九江市庐嘉玻璃纤维制品有限公司,有限责任公司(自然人投资或控股),江西省九江市九江经济技术开发区出口加工区如琴路2号,2015-05-06,江西省,制造业,2017-06-06,游楠,360421210016987,200万人民币,九江经济技术开发区市场和质量监督管理局,913604213328919110,33289191-1,存续（在营、开业、在册）,玻璃纤维丝短切加工，玻璃纤维布及其它玻璃纤维制品生产、销售，玻璃钢制造及销售，玻璃钢防腐工程施工，废旧物品回收及废包装桶回收利用。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,913604213328919110,-,2015-05-06 至 无固定期限,存续,,,13979216636,390887516@qq.com
九江市濂溪区五里街道前进村（濂溪区五里工业园）,九江市庐山区长虹机械有限公司,有限责任公司(自然人投资或控股),九江市濂溪区五里街道前进村（濂溪区五里工业园）,1999-07-29,江西省,制造业,2017-04-17,刘志敏,360402010000569,50万人民币,九江市濂溪区市场和质量监督管理局,91360402705643866T,70564386-6,存续（在营、开业、在册）,机械产品、零配件加工、销售，五金电器、钢材、建筑材料、日用百货、化工产品（危险品除外）销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）**,91360402705643866T,-,1999-07-29 至 2034-04-30,存续,九江市庐山区长虹机械厂,,13607927604,2284932156@qq.com
河北省保定市蠡县小陈乡小陈村,蠡县万业纺织厂,个人独资企业,河北省保定市蠡县小陈乡小陈村,2017-05-12,河北省,制造业,2017-05-27,黄飞,-,-,蠡县工商行政管理局,91130635MA08J5CM86,-,存续（在营、开业、在册）,制造、加工、销售坯布、毛巾、浴巾、毛巾被、纱线。（不含漂洗、印染）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91130635MA08J5CM86,-,*** 至 无固定期限,存续,,,暂无,暂无
河北省保定市蠡县辛兴镇北宗村,蠡县盈乐园食品有限公司,有限责任公司(自然人独资),河北省保定市蠡县辛兴镇北宗村,2016-09-20,河北省,制造业,2016-09-20,李敏,-,100万人民币,蠡县工商行政管理局,91130635MA07W90A42,-,存续（在营、开业、在册）,山药制品、红薯制品、马铃薯制品加工、销售；农产品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91130635MA07W90A42,-,2016-09-20 至 无固定期限,存续,,https://shop285098379.taobao.com,0312-5391120,515410015@qq.com
浙江省象山县鹤浦镇湾塘路24号,象山鹤丰水泥制品厂,个人独资企业,浙江省象山县鹤浦镇湾塘路24号,2007-06-15,浙江省,制造业,2017-03-16,吴乐昌,330225000071133,-,象山县市场监督管理局,91330225662083650D,-,存续,水泥预制品、水泥砖制造、加工。,91330225662083650D,-,*** 至 无固定期限,存续,,,暂无,暂无
南充市顺庆区华凤镇杜家嘴村三社,南充市顺庆区通禾构件加工厂,集体所有制,南充市顺庆区华凤镇杜家嘴村三社,2003-08-13,四川省,制造业,2016-06-30,刘通和,-,50万人民币,南充市顺庆区工商和质量技术监督局,91511302MA6299935U,-,存续（在营、开业、在册）,水泥烟道、水泥下水管、路面地板砖、路沿石、窨井盖生产、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91511302MA6299935U,-,2003-11-24 至 无固定期限,存续,南充市顺庆区杜家嘴预制厂   企业(机构)南充市顺庆区杜家嘴预制厂,,13890819263,928385586@qq.com
