_id,CW_HSCODE,url_for_verify,foreign_id,mark,COUNTRY,UNIT1,UNIT2,QUANTITY1_CURRENT_MONTH,QUANTITY2_CURRENT_MONTH,VALUE_CURRENT_MONTH,QUANTITY1_CUMULATIVE_YEAR_TO_DATE,QUANTITY2_CUMULATIVE_YEAR_TO_DATE,VALUE_CUMULATIVE_YEAR_TO_DATE,idx_start,idx_end,page_start,page_end,idx_total
670d21ea631a82b8a8a3089e,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,(100 TOKYO)TOTAL, ,KG, ,15570,69715, ,15570,69715,1,51,1,1,51
670d21ea631a82b8a8a3089f,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,(0902.10-100  )TOTAL, ,KG, ,9079,41957, ,9079,41957,1,51,1,1,51
670d21ea631a82b8a8a308a0,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,105 CHINA, ,KG, ,111,2387, ,111,2387,1,51,1,1,51
670d21ea631a82b8a8a308a1,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,106 TAIWAN, ,KG, ,1000,1780, ,1000,1780,1,51,1,1,51
670d21ea631a82b8a8a308a2,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,108 HG KONG, ,KG, ,1968,13212, ,1968,13212,1,51,1,1,51
670d21ea631a82b8a8a308a3,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,110 VIETNAM, ,KG, ,375,1373, ,375,1373,1,51,1,1,51
670d21ea631a82b8a8a308a4,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,111 THAILND, ,KG, ,330,277, ,330,277,1,51,1,1,51
670d21ea631a82b8a8a308a5,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,112 SNGAPOR, ,KG, ,60,247, ,60,247,1,51,1,1,51
670d21ea631a82b8a8a308a6,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,113 MALYSIA, ,KG, ,2153,2557, ,2153,2557,1,51,1,1,51
670d21ea631a82b8a8a308a7,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,117 PHILPIN, ,KG, ,600,1130, ,600,1130,1,51,1,1,51
